title,start_date,start_time,end_date,end_time,type,venue,speaker,speaker_company,speaker_image,,,,,,,,
Adobe - TBC,8/31/17,15:15,8/31/17,15:55,Presentation,Level 2 - 210DH,Trent Davies,Adobe,,,,,,,,,
Deep learning trends and developments,8/31/17,16:05,8/31/17,16:45,Presentation,Level 2 - 210BF,Rajat Monga,Google,https://atscaleconference2.files.wordpress.com/2017/07/5973139e66c99.jpg,,,,,,,,
Okta's secret sauce for dealing with flaky tests at scale,8/31/17,16:05,8/31/17,16:45,Presentation,Level 2 - 210DH,Kelvin Zhu,Okta,https://atscaleconference2.files.wordpress.com/2017/08/598507c2edea5.jpg,,,,,,,,
Make data-driven decisions faster with real-time stream processing,8/31/17,16:05,8/31/17,16:45,Presentation,Level 2 - 210CG,Rajesh Nishtala,Facebook,https://atscaleconference2.files.wordpress.com/2017/07/59694c4008ebf.jpg,,,,,,,,
Google Translate: Breaking language barriers in emerging markets,8/31/17,16:05,8/31/17,16:45,Presentation,Level 2 - 210AE,Barak Turovsky,Facebook,https://atscaleconference2.files.wordpress.com/2017/08/598b44cbcbc66.png,,,,,,,,
Rapid release at massive scale,8/31/17,16:55,8/31/17,17:35,Presentation,Level 2 - 210DH,Chuck Rossi,Facebook,https://atscaleconference2.files.wordpress.com/2017/07/5969510b84ede.jpg,,,,,,,,
BigQuery: Managed storage for analytics,8/31/17,16:55,8/31/17,17:35,Presentation,Level 2 - 210CG,Jordan Tigani,Google,https://atscaleconference2.files.wordpress.com/2017/07/5978acbe32902.jpg,,,,,,,,
Unlocking meaning across languages at scale,8/31/17,16:55,8/31/17,17:35,Presentation,Level 2 - 210BF,Nacip Fazil Ayan,Facebook,https://atscaleconference2.files.wordpress.com/2017/08/5985adb03a2aa.jpg,,,,,,,,
Not filled yet,8/31/17,16:55,8/31/17,17:35,Presentation,Level 2 - 210AE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
