title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Hot Topics Office Hours 1-3,8/31/16,12:30,8/31/16,13:00,Hot Topics,Lower Level Prefunction Hot Topics,Johannes Kopf:Robert Ober:Khoi Nguyen,Facebook:NVIDIA:Oculus,
Hot Topics Office Hours 4-6,8/31/16,15:30,8/31/16,16:00,Hot Topics,Lower Level Prefunction Hot Topics,Andrew Tulloch:Yangqing Jia:Steve Robertson:Edward Newett,Facebook:Facebook:YouTube:Spotify,"

"
Hot Topics Office Hours 7-9,8/31/16,17:30,8/31/16,18:00,Hot Topics,Lower Level Prefunction Hot Topics,Ben Newhouse:Brandon Keepers:Andy Spyker:Jeff McAffer:Katelyn Bryant:Surupa Biswas,Dropbox:GitHub:Netflix:Microsoft:GitHub:Facebook,
