title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Office Hours #1 -3,8/31/16,12:30,8/31/16,13:00,Data @Scale,Lower Level 20D Office,Shan He:Yann Collet:Matei Zaharia,Uber:Facebook:Databricks,
Office Hours #4-6,8/31/16,15:30,8/31/16,16:00,Data @Scale,Lower Level 20D Office,Debanjan Saha:Yoshinori Matsunobu:Dan Halperin,Amazon:Facebook:Google,
Office Hours #7-9,8/31/16,17:30,8/31/16,18:00,Data @Scale,Lower Level 20D Office,Pierre Andrews:Aditya Kalro:James Mayfield:Swaroop Jagadish:Priyesh Narayanan:Holla Gopalakrishna,Facebook:Facebook:Airbnb:Airbnb:LinkedIn:LinkedIn,
