title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Facebook OCP 2S Server Tioga Pass,3/9/17,10:30,3/9/17,10:55,Server,Grand Ballroom C,Whitney Zhao,,
Microsoft Platinum Sponsor Presentation:  Reimagining Open Hardware  Innovation  at Cloud Speed,3/8/17,9:20,3/8/17,9:40,,Hall D,Kushagra Vaid,,
Intel: Intel脲 Rack Scale Design: A Deeper Perspective on Software Manageability for the Open Compute Project Community,3/8/17,16:55,3/8/17,17:20,,Grand Ballroom E/F,Mohan Kumar,,
A High-density NVME JBOF Storage in 1U Chassis for 19_褲 and 21_褲 Racks,3/9/17,13:00,3/9/17,13:25,Storage,Grand Ballroom A,Tommy Chen,,
Project Olympus Storage JBOD,3/9/17,11:30,3/9/17,11:55,Project Olympus,Grand Ballroom F,"Mark Shaw, Brandon Rubenstein",,
HPE: Leaping Ahead with Open _研 HPE Has a Hyperscale Strategy for You,3/8/17,15:45,3/8/17,16:10,,Great America Ballroom J/K,Justin Hotard,,
Taking SAI Beyond the Data Center Fabric,3/9/17,10:30,3/9/17,10:55,Networking 2,Great America Ballroom K,Alan Elder,,
"Linux Networking Greatness, episode 2",3/9/17,13:00,3/9/17,13:25,Networking 1,Great America Ballroom J,Roopa Prabhu,,
Project Olympus High Density Flash,3/9/17,11:00,3/9/17,11:25,Project Olympus,Grand Ballroom F,Mark A. Shaw,,
Facebook Lightning Update and Lessons Learned,3/9/17,9:00,3/9/17,9:25,Storage,Grand Ballroom A,Chris Petersen,,
5G: Redefining the Telco Data Center,3/9/17,9:30,3/9/17,9:55,Telco,Grand Ballroom E,Brian Zahnstecher,,
Project Olympus Rack Management,3/9/17,13:30,3/9/17,13:55,Project Olympus,Grand Ballroom F,Bryan Kelly,,
Registration Open,3/8/17,7:30,3/8/17,19:00,,Lobby,,,
Specification of the Data Center IT Pod,3/9/17,14:00,3/9/17,14:25,Open Rack(48v) and Data Center,Grand Ballroom B,Rob Bunger,,
Next Generation HDDs in the Datacenter,3/9/17,13:30,3/9/17,14:25,Storage,Grand Ballroom A,"Lawrence Ying, Jason Adrian, Michael McGrath",,
Open Access _研 AT&T Specs,3/9/17,13:30,3/9/17,13:55,Telco,Grand Ballroom E,Tom Anschutz,,
Executive Track: Sony OAI,3/8/17,15:10,3/8/17,15:35,,Great America Ballroom J/K,"Horst Schellong, Rich Radin",,
Welcome and State of the Foundation Update,3/8/17,9:00,3/8/17,9:20,,Hall D,Jason Taylor,,
Flex: Removing the Friction from Global Data Center Deployment,3/8/17,14:50,3/8/17,15:05,,Hall A&B,Chris Winslow,,
Power capping in Project Olympus,3/9/17,14:30,3/9/17,14:55,Project Olympus,Grand Ballroom F,Ali Larijani,,
Applying Cloud Principles to Hardware Drivers,3/9/17,13:00,3/9/17,13:25,Telco,Grand Ballroom E,Tom Anschutz,,
Breakfast,3/9/17,8:00,3/9/17,9:00,,Lobby,,,
HW Management SW Agents in Hyperscale Datacenter Systems,3/9/17,13:00,3/9/17,13:25,Hardware Management,Grand Ballroom D,James Malachowski,,
Building a Data Center for the Post-mobile Era,3/8/17,11:20,3/8/17,11:50,,Hall D,Steve Brown,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,Open Rack(48v) and Data Center,Grand Ballroom B,"Steve Mills, Brian Obernesser, Eran Tal, Rob Bunger, Jason Schafer",,
Flexible & Scalable 48V Solutions To Power Tomorrows Datacenters,3/9/17,11:00,3/9/17,11:25,Open Rack(48v) and Data Center,Grand Ballroom B,Sean Gold,,
Flex: The OCP Driven Telco Cloud,3/8/17,16:20,3/8/17,16:45,,Great America Ballroom J/K,Dharmesh Jani,,
Sonic,3/9/17,11:00,3/9/17,11:25,Networking 2,Great America Ballroom K,Dave Maltz,,
An Overview of Facebook's Manufacturing Test Framework,3/9/17,11:00,3/9/17,11:25,Hardware Management,Grand Ballroom D,Vincent Matossian,,
Hyve: Hyve Designed 48V OCP v2 Rack,3/8/17,12:50,3/8/17,13:05,,Hall A&B,Conor Malone,,
Breakfast,3/8/17,7:30,3/8/17,9:00,,Lobby,,,
High Temperature Datacenter Hardware,3/9/17,11:30,3/9/17,11:55,Telco,Grand Ballroom E,Tomas Fredberg,,
"YJ America, Inc. Presentation",3/8/17,9:40,3/8/17,10:10,,Hall D,Masaharu Miyamoto,,
"A Novel, Scalable, Multi-Cell Architecture for 48V Direct Conversion",3/9/17,13:00,3/9/17,13:25,Open Rack(48v) and Data Center,Grand Ballroom B,Paolo Sandri,,
GS_验 WhiteBox Strategy,3/9/17,13:00,3/9/17,13:25,Networking 2,Great America Ballroom K,Josh Matheus,,
Software's Role in an Open Hardware Ecosystem,3/8/17,10:30,3/8/17,11:00,,Hall D,"Mark Shaw, Mark Shuttleworth, Dave Peterson, John Linville, David Dale",,
Zaius & Barreleye G2: the 48v Google / Rackspace OpenPOWER Platform,3/9/17,13:00,3/9/17,13:25,Server,Grand Ballroom C,Aaron Sullivan,,
"Alpha 10G, 25G and 100G switches for the DC and Telco markets",3/9/17,14:30,3/9/17,14:55,Networking 1,Great America Ballroom J,Alan Chien,,
Lunch,3/8/17,12:00,3/8/17,14:00,,Hall A&B,,,
Expo Hall Theater: AMD,3/9/17,9:20,3/9/17,9:35,,Hall A&B,,,
Universal Connectivity and Interoperability in the Open Eco System,3/9/17,11:00,3/9/17,11:25,Networking 1,Great America Ballroom J,David Woolf,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,Hardware Management,Grand Ballroom D,"Bernie Meier, Norman James",,
AVA - NVMe m.2 in Scale Out Storage,3/9/17,11:00,3/9/17,11:25,Server,Grand Ballroom C,"Michael Liberte, Dominic Cheng",,
Multi-Node 1S Server Platform Yosemite V2,3/9/17,9:30,3/9/17,9:55,Server,Grand Ballroom C,Yan Zhao,,
Lunch,3/9/17,12:00,3/9/17,13:00,,Hall A&B,,,
"Open Networking Advancing, Expanding, and Deploying",3/9/17,14:00,3/9/17,14:25,Networking 1,Great America Ballroom J,Jeff Catlin,,
Dr. Know - A New High Performance Compute Accelerator,3/9/17,10:00,3/9/17,10:25,Server,Grand Ballroom C,Terry Hou,,
Intel Platinum Sponsor Presentation,3/8/17,10:10,3/8/17,10:40,,Hall D,Jason Waxman,,
Project Olympus Overview,3/9/17,9:00,3/9/17,9:55,Project Olympus,Grand Ballroom F,"Mark Shaw, Siamak Tavallaei",,
100G Optics Deployment in Facebook Data Centers,3/9/17,14:30,3/9/17,14:55,Networking 2,Great America Ballroom K,Katherine Schmidtke,,
"Coordinated Models for Analysis, Design, Construction, and Operations",3/9/17,14:30,3/9/17,14:55,Open Rack(48v) and Data Center,Grand Ballroom B,Aryn Bergman,,
Re-evaluating HDD error correction,3/9/17,14:00,3/9/17,14:25,Hardware Management,Grand Ballroom D,David Burks,,
Western Digital: The State of the Solid State Drive (SSD),3/8/17,16:50,3/8/17,17:05,,Hall A&B,Anand Jayapalan,,
Nokia DCM solution for OCP,3/9/17,13:30,3/9/17,13:55,Hardware Management,Grand Ballroom D,Jaakkola Jorma,,
OCP For Telco: The Challenge and the Solution - Part Two,3/9/17,11:30,3/9/17,11:55,Open Rack(48v) and Data Center,Grand Ballroom B,Juha Klemola,,
QCT: What_验s New in OCP from QCT,3/8/17,15:10,3/8/17,15:25,,Hall A&B,Alan Chang,,
Facebook: Scaleout SW Solutions on OCP HW - Panel,3/8/17,14:00,3/8/17,14:25,,Grand Ballroom E/F,"Mark Shuttleworth, Vincent Hsu, JR Rivers, Chris Wright, Scott Dawkins",,
OCP Mezzanine NIC 2.0 and Beyond,3/9/17,9:00,3/9/17,9:25,Server,Grand Ballroom C,Jia Ning,,
OCP Happy Hour,3/8/17,18:00,3/8/17,19:30,,Hall A&B,,,
HPE: Jump into the Open _研 HPE Has Your Parachute,3/8/17,14:10,3/8/17,14:25,,Hall A&B,Matt Hull,,
Facebook's Next Generation Storage Server Design,3/9/17,9:30,3/9/17,9:55,Storage,Grand Ballroom A,"Jason Adrian, Madhavan Ravi",,
Welcome and Track Overview,3/9/17,8:45,3/9/17,9:25,Networking 1,Great America Ballroom J,"Scott Emery, Omar Baldonado",,
SmartNIC Data Plane Acceleration and Reconfiguration in OCP servers for Data Center Operators,3/9/17,11:30,3/9/17,11:55,Server,Grand Ballroom C,"nic viljoen, Jeff Sharpe",,
Facebook Server Refresh,3/8/17,11:00,3/8/17,11:20,,Hall D,Vijay Rao,,
Executive Track: TBD,3/8/17,17:00,3/8/17,17:25,,Grand Ballroom E/F,,,
