title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Office Hours #1 -3,8/31/16,12:30,8/31/16,13:00,Hot Topics @Scale,Hot Topics @Scale Office,Johannes Kopf:Robert Ober:Khoi Nguyen,Facebook:NVIDIA:Oculus,
Office Hours #4-6,8/31/16,15:30,8/31/16,16:00,Hot Topics @Scale,Hot Topics @Scale Office,Andrew Tulloch:Yangqing Jia:Steve Robertson:Edward Newett,Facebook:Facebook:YouTube:Spotify,"

"
Office Hours #7-9,8/31/16,17:30,8/31/16,18:00,Hot Topics @Scale,Hot Topics @Scale Office,Ben Newhouse:Brandon Keepers:Andy Spyker:Jeff Mcaffer:Katelyn Bryant:Surupa Biswas,Dropbox:GitHub:Netflix:Microsoft:GitHub:GitHub,
