title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Dev Tools & Ops Office Hours 1-3,8/31/16,12:30,8/31/16,13:00,Dev Tools & Ops,Lower Level Prefunction Dev Tools & Ops,Jigar Desai:Adrian Zgorzalek:Dianne Marsh,PayPal:Facebook:Netflix,
Dev Tools & Ops Office Hours 4-6,8/31/16,15:30,8/31/16,16:00,Dev Tools & Ops,Lower Level Prefunction Dev Tools & Ops,Jeffrey Dunn:Alan Zeino:Nick Cobb:Ivan Filho,Facebook:Uber:Uber:Google,
Dev Tools & Ops Office Hours 7-9,8/31/16,17:30,8/31/16,18:00,Dev Tools & Ops,Lower Level Prefunction Dev Tools & Ops,Richard Sheehan:Chunyan Wang:Bo Liu:Lisa Guo,Facebook:Pinterest:Pinterest:Instagram,
